seed,gridsize,ncount,method,runtime
55,1000,25,4,0.004224
55,1000,25,5,236.413008
55,1000,25,6,32.5768
63,5000,20,2,2.645859
63,5000,20,3,8.486039
63,5000,20,4,0.003275
63,5000,20,5,3.262772
63,5000,20,6,0.639029
77,5000,21,2,1.034475
77,5000,21,3,62.552678
77,5000,21,4,13.904962
77,5000,21,5,62.59923
77,5000,21,6,0.657681
26,5000,22,2,15.25679
26,5000,22,3,222.702221
26,5000,22,4,0.003734
26,5000,22,5,18.144626
26,5000,22,6,1.485873
54,5000,23,2,15.63001
54,5000,23,3,138.193924
54,5000,23,4,0.004244
54,5000,23,5,43.844512
54,5000,23,6,3.400411
64,5000,24,2,149.331898
64,5000,24,3,
64,5000,24,4,0.011943
64,5000,24,5,101.56994
64,5000,24,6,7.245648
76,5000,25,2,543.020045
76,5000,25,3,
76,5000,25,4,0.712147
76,5000,25,5,220.954537
76,5000,25,6,
26,100,20,2,2.300835
26,100,20,3,7.630844
26,100,20,4,0.003111
26,100,20,5,2.750832
26,100,20,6,0.299217
42,100,21,2,1.536697
42,100,21,3,18.716044
42,100,21,4,0.007076
42,100,21,5,7.144377
42,100,21,6,0.671043
54,100,22,2,3.808877
54,100,22,3,42.632665
54,100,22,4,0.006162
54,100,22,5,16.631568
54,100,22,6,1.458852
51,100,23,2,4.779348
51,100,23,3,94.322457
51,100,23,4,0.009084
51,100,23,5,38.128981
51,100,23,6,3.246845
44,100,24,2,1.053578
44,100,24,3,249.188631
44,100,24,4,0.004034
44,100,24,5,101.29685
44,100,24,6,7.232317
60,100,25,2,1.415714
60,100,25,3,
60,100,25,4,0.433838
60,100,25,5,226.144547
60,100,25,6,36.796214
92,1000,20,2,2.375781
92,1000,20,3,8.295953
92,1000,20,4,0.00333
92,1000,20,5,3.458965
92,1000,20,6,0.311743
40,1000,21,2,0.342293
40,1000,21,3,20.149821
40,1000,21,4,0.004241
40,1000,21,5,7.882235
40,1000,21,6,3.335285
64,1000,22,2,0.407532
64,1000,22,3,130.45858
64,1000,22,4,2.299709
64,1000,22,5,16.898496
64,1000,22,6,1.496643
86,1000,23,2,5.532805
86,1000,23,3,268.388137
86,1000,23,4,0.004559
86,1000,23,5,41.162788
86,1000,23,6,59.05236
86,1000,24,2,12.409941
86,1000,24,3,
86,1000,24,4,1.259705
86,1000,24,5,90.878949
86,1000,24,6,7.288705
99,1000,25,2,0.787985
99,1000,25,3,
99,1000,25,4,0.381718
99,1000,25,5,218.379349
99,1000,25,6,62.57278
59,5000,20,2,
59,5000,20,3,9.206766
59,5000,20,4,1.730648
59,5000,20,5,4.970196
59,5000,20,6,0.297754
26,5000,21,2,1.142534
26,5000,21,3,50.868042
26,5000,21,4,11.07167
26,5000,21,5,10.334705
26,5000,21,6,0.657944
46,5000,22,2,102.413826
46,5000,22,3,312.902408
46,5000,22,4,0.004792
46,5000,22,5,19.086724
46,5000,22,6,1.507293
35,5000,23,2,5.421568
35,5000,23,3,118.564883
35,5000,23,4,6.080756
35,5000,23,5,41.797327
35,5000,23,6,3.281988
