seed,gridsize,ncount,method,runtime
67,1000,25,5,59.676632
67,1000,25,6,7.100421
71,5000,20,2,0.231009
71,5000,20,3,4.884308
71,5000,20,4,0.563044
71,5000,20,5,0.882712
71,5000,20,6,0.14344
79,5000,21,2,2.824001
79,5000,21,3,11.130448
79,5000,21,4,0.011719
79,5000,21,5,2.114095
79,5000,21,6,0.320427
19,5000,22,2,0.57436
19,5000,22,3,25.590663
19,5000,22,4,0.002311
19,5000,22,5,4.781873
19,5000,22,6,0.687584
53,5000,23,2,1.735549
53,5000,23,3,116.716443
53,5000,23,4,0.002123
53,5000,23,5,11.659339
53,5000,23,6,1.502952
94,5000,24,2,5.817762
94,5000,24,3,
94,5000,24,4,0.19076
94,5000,24,5,26.154551
94,5000,24,6,3.240962
13,5000,25,2,16.405923
13,5000,25,3,
13,5000,25,4,0.477736
13,5000,25,5,57.951721
13,5000,25,6,6.985822
1,100,20,2,10.351016
1,100,20,3,4.850001
1,100,20,4,0.002007
1,100,20,5,0.999802
1,100,20,6,0.143479
37,100,21,2,1.111916
37,100,21,3,11.01618
37,100,21,4,0.003882
37,100,21,5,2.398491
37,100,21,6,0.312894
46,100,22,2,0.140784
46,100,22,3,24.916171
46,100,22,4,0.002157
46,100,22,5,7.259926
46,100,22,6,0.682144
14,100,23,2,0.011512
14,100,23,3,56.072852
14,100,23,4,0.002172
14,100,23,5,18.444191
14,100,23,6,1.483982
50,100,24,2,12.817241
50,100,24,3,125.57306
50,100,24,4,0.002448
50,100,24,5,43.478403
50,100,24,6,3.219931
86,100,25,2,69.064494
86,100,25,3,
86,100,25,4,0.400824
86,100,25,5,55.292888
86,100,25,6,6.95756
64,1000,20,2,0.092362
64,1000,20,3,4.849006
64,1000,20,4,0.001618
64,1000,20,5,0.976893
64,1000,20,6,0.142688
35,1000,21,2,0.178798
35,1000,21,3,11.035615
35,1000,21,4,0.002115
35,1000,21,5,2.261166
35,1000,21,6,0.312937
20,1000,22,2,3.331063
20,1000,22,3,24.910274
20,1000,22,4,0.001939
20,1000,22,5,5.29523
20,1000,22,6,0.681905
13,1000,23,2,0.051069
13,1000,23,3,56.630189
13,1000,23,4,0.001677
13,1000,23,5,11.046929
13,1000,23,6,1.489591
1,1000,24,2,9.030689
1,1000,24,3,
1,1000,24,4,0.204964
1,1000,24,5,26.138459
1,1000,24,6,3.236309
12,1000,25,2,2.289375
12,1000,25,3,
12,1000,25,4,0.627626
12,1000,25,5,58.184631
12,1000,25,6,7.024861
16,5000,20,2,8.347949
16,5000,20,3,4.860372
16,5000,20,4,1.074779
16,5000,20,5,0.899555
16,5000,20,6,0.142993
46,5000,21,2,15.535396
46,5000,21,3,19.145877
46,5000,21,4,3.358887
46,5000,21,5,2.079683
46,5000,21,6,0.313759
8,5000,22,2,5.70246
8,5000,22,3,96.642152
8,5000,22,4,0.585704
8,5000,22,5,5.316435
8,5000,22,6,0.692128
35,5000,23,2,3.184393
35,5000,23,3,
35,5000,23,4,0.005384
35,5000,23,5,11.920257
35,5000,23,6,1.494375
32,5000,24,2,67.359212
32,5000,24,3,
32,5000,24,4,0.801283
32,5000,24,5,26.206548
32,5000,24,6,12.830641
44,5000,25,2,24.503422
44,5000,25,3,
44,5000,25,4,0.265829
44,5000,25,5,60.499879
44,5000,25,6,6.990038
11,100,20,2,11.918126
11,100,20,3,17.486664
11,100,20,4,0.002322
11,100,20,5,0.971307
11,100,20,6,0.145293
54,100,21,2,0.173259
54,100,21,3,11.440813
54,100,21,4,0.003993
54,100,21,5,2.151554
54,100,21,6,0.316968
16,100,22,2,0.210736
16,100,22,3,25.733164
16,100,22,4,0.002316
16,100,22,5,4.858451
16,100,22,6,0.687899
97,100,23,2,0.018579
97,100,23,3,281.957247
97,100,23,4,0.001468
97,100,23,5,11.355538
97,100,23,6,1.494691
10,100,24,2,0.153021
10,100,24,3,
10,100,24,4,0.537661
10,100,24,5,26.560848
10,100,24,6,3.242839
4,100,25,2,39.361404
4,100,25,3,
4,100,25,4,0.512272
4,100,25,5,61.37104
4,100,25,6,7.014749
18,1000,20,2,1.034057
18,1000,20,3,4.993574
18,1000,20,4,0.25491
18,1000,20,5,0.93457
18,1000,20,6,0.144128
84,1000,21,2,3.785334
84,1000,21,3,11.582365
84,1000,21,4,0.002761
84,1000,21,5,2.179885
84,1000,21,6,0.316779
57,1000,22,2,0.446328
57,1000,22,3,25.523852
57,1000,22,4,0.003151
57,1000,22,5,4.768006
57,1000,22,6,0.688562
47,1000,23,2,67.998799
47,1000,23,3,
47,1000,23,4,1.003657
47,1000,23,5,11.057829
47,1000,23,6,1.487948
71,1000,24,2,78.058174
71,1000,24,3,
71,1000,24,4,0.20808
71,1000,24,5,26.388801
71,1000,24,6,3.240593
50,1000,25,2,0.060762
50,1000,25,3,
50,1000,25,4,0.915244
50,1000,25,5,62.26199
50,1000,25,6,6.990039
9,5000,20,2,4.522323
9,5000,20,3,6.142272
9,5000,20,4,0.534128
9,5000,20,5,0.921937
9,5000,20,6,0.143512
22,5000,21,2,0.340544
22,5000,21,3,33.006406
22,5000,21,4,0.001715
22,5000,21,5,2.151066
22,5000,21,6,0.317077
62,5000,22,2,2.091267
62,5000,22,3,25.787979
62,5000,22,4,0.00208
62,5000,22,5,5.113342
62,5000,22,6,0.690988
74,5000,23,2,50.328742
74,5000,23,3,57.224682
74,5000,23,4,0.002701
74,5000,23,5,11.098697
74,5000,23,6,1.489984
57,5000,24,2,2.137954
57,5000,24,3,166.404318
57,5000,24,4,0.002575
57,5000,24,5,26.236116
57,5000,24,6,3.22893
11,5000,25,2,1.096017
11,5000,25,3,
11,5000,25,4,0.362415
11,5000,25,5,57.384128
11,5000,25,6,6.972518
57,100,20,2,0.056839
57,100,20,3,4.839632
57,100,20,4,0.001428
57,100,20,5,0.985492
57,100,20,6,0.142734
23,100,21,2,19.349751
23,100,21,3,11.044056
23,100,21,4,0.004031
23,100,21,5,2.330964
23,100,21,6,0.312995
79,100,22,2,0.601394
79,100,22,3,25.009005
79,100,22,4,0.00303
79,100,22,5,6.285723
79,100,22,6,0.682145
13,100,23,2,11.925653
13,100,23,3,56.710556
13,100,23,4,0.005348
13,100,23,5,16.924179
13,100,23,6,1.488795
82,100,24,2,5.460184
82,100,24,3,126.458533
82,100,24,4,0.009792
82,100,24,5,28.886133
82,100,24,6,3.223953
94,100,25,2,0.321616
94,100,25,3,
94,100,25,4,0.294692
94,100,25,5,59.974749
94,100,25,6,6.990152
93,1000,20,2,0.317174
93,1000,20,3,4.977897
93,1000,20,4,0.002627
93,1000,20,5,0.95444
93,1000,20,6,0.144521
84,1000,21,2,3.785429
84,1000,21,3,11.319576
84,1000,21,4,0.002723
84,1000,21,5,2.155458
84,1000,21,6,0.316889
63,1000,22,2,14.657671
63,1000,22,3,25.506437
63,1000,22,4,0.002074
63,1000,22,5,4.861369
63,1000,22,6,0.688464
41,1000,23,2,0.463275
41,1000,23,3,140.528645
41,1000,23,4,0.002344
41,1000,23,5,11.628793
41,1000,23,6,1.501137
20,1000,24,2,0.05251
20,1000,24,3,
20,1000,24,4,0.325816
20,1000,24,5,26.894882
20,1000,24,6,3.232859
16,1000,25,2,2.627075
16,1000,25,3,
16,1000,25,4,0.329159
16,1000,25,5,60.424888
16,1000,25,6,7.037312
87,5000,20,2,2.341755
87,5000,20,3,4.978997
87,5000,20,4,0.002968
87,5000,20,5,0.909415
87,5000,20,6,0.144074
33,5000,21,2,29.787605
33,5000,21,3,11.395262
33,5000,21,4,0.003951
33,5000,21,5,2.098844
33,5000,21,6,0.315744
23,5000,22,2,10.782984
23,5000,22,3,47.543014
23,5000,22,4,0.006698
23,5000,22,5,5.132024
23,5000,22,6,0.70731
92,5000,23,2,0.207892
92,5000,23,3,156.35696
92,5000,23,4,0.002049
92,5000,23,5,11.995744
92,5000,23,6,1.496064
99,5000,24,2,103.390999
99,5000,24,3,
99,5000,24,4,1.872236
99,5000,24,5,25.111367
99,5000,24,6,3.231653
57,5000,25,2,6.841719
57,5000,25,3,
57,5000,25,4,0.824215
57,5000,25,5,58.430667
57,5000,25,6,6.974114
32,100,20,2,1.063744
32,100,20,3,5.000245
32,100,20,4,0.002971
32,100,20,5,0.899152
32,100,20,6,0.143938
11,100,21,2,1.21048
11,100,21,3,11.382228
11,100,21,4,0.002844
11,100,21,5,2.257591
11,100,21,6,0.316261
63,100,22,2,5.686515
63,100,22,3,25.535006
63,100,22,4,0.002284
63,100,22,5,4.752182
63,100,22,6,0.686472
14,100,23,2,0.011496
14,100,23,3,70.248059
14,100,23,4,0.072959
14,100,23,5,10.990953
14,100,23,6,1.49273
1,100,24,2,4.141498
1,100,24,3,
1,100,24,4,0.510194
1,100,24,5,26.583215
1,100,24,6,3.241464
3,100,25,2,0.970813
3,100,25,3,
3,100,25,4,0.418697
3,100,25,5,56.5199
3,100,25,6,6.975008
1,1000,20,2,1.311301
1,1000,20,3,4.92473
1,1000,20,4,1.312282
1,1000,20,5,0.894698
1,1000,20,6,0.143622
41,1000,21,2,0.24534
41,1000,21,3,31.573788
41,1000,21,4,0.001976
41,1000,21,5,2.161275
41,1000,21,6,0.319925
54,1000,22,2,0.010011
54,1000,22,3,25.621497
54,1000,22,4,0.001436
54,1000,22,5,5.053332
54,1000,22,6,0.689308
24,1000,23,2,0.494924
24,1000,23,3,58.175771
24,1000,23,4,0.004023
24,1000,23,5,11.324673
24,1000,23,6,1.495
81,1000,24,2,0.022219
81,1000,24,3,
81,1000,24,4,0.118491
81,1000,24,5,25.958628
81,1000,24,6,4.622523
34,1000,25,2,7.740398
34,1000,25,3,
34,1000,25,4,0.258525
34,1000,25,5,
34,1000,25,6,7.234517
84,5000,20,2,0.053407
84,5000,20,3,5.036366
84,5000,20,4,0.33514
84,5000,20,5,0.908614
84,5000,20,6,0.146297
69,5000,21,2,10.608874
69,5000,21,3,19.409415
69,5000,21,4,0.00264
69,5000,21,5,2.160634
69,5000,21,6,0.316705
57,5000,22,2,0.506291
57,5000,22,3,25.669915
57,5000,22,4,0.001796
57,5000,22,5,4.778312
57,5000,22,6,0.688181
29,5000,23,2,31.723544
29,5000,23,3,140.70067
29,5000,23,4,0.002409
29,5000,23,5,11.548173
29,5000,23,6,1.500424
31,5000,24,2,1.471711
31,5000,24,3,163.9653
31,5000,24,4,0.002215
31,5000,24,5,26.379987
31,5000,24,6,3.235611
83,5000,25,2,4.069374
83,5000,25,3,
83,5000,25,4,0.20782
83,5000,25,5,59.846527
83,5000,25,6,6.982398
58,100,20,2,0.71345
58,100,20,3,4.904072
58,100,20,4,0.001624
58,100,20,5,0.89589
58,100,20,6,0.144007
24,100,21,2,0.94223
24,100,21,3,11.161753
24,100,21,4,0.002036
24,100,21,5,2.058716
24,100,21,6,0.313878
62,100,22,2,2.079609
62,100,22,3,25.193257
62,100,22,4,0.002884
62,100,22,5,4.854497
62,100,22,6,0.684376
86,100,23,2,44.99939
86,100,23,3,56.433368
86,100,23,4,0.004862
86,100,23,5,10.831845
86,100,23,6,1.488154
77,100,24,2,0.470879
77,100,24,3,139.185046
77,100,24,4,0.002427
77,100,24,5,26.427007
77,100,24,6,3.232662
87,100,25,2,1.48988
87,100,25,3,
87,100,25,4,1.143024
87,100,25,5,62.435008
87,100,25,6,6.978932
66,1000,20,2,6.33152
66,1000,20,3,5.142184
66,1000,20,4,0.519175
66,1000,20,5,0.900463
66,1000,20,6,0.143094
2,1000,21,2,0.829912
2,1000,21,3,52.523138
2,1000,21,4,0.001867
2,1000,21,5,2.199906
2,1000,21,6,0.317508
20,1000,22,2,3.426802
20,1000,22,3,25.968576
20,1000,22,4,0.001985
20,1000,22,5,4.830002
20,1000,22,6,0.688183
89,1000,23,2,45.830119
89,1000,23,3,281.066893
89,1000,23,4,0.002654
89,1000,23,5,11.065138
89,1000,23,6,1.49639
53,1000,24,2,0.04183
53,1000,24,3,
53,1000,24,4,0.12795
53,1000,24,5,26.75045
53,1000,24,6,5.434227
78,1000,25,2,0.108434
78,1000,25,3,
78,1000,25,4,0.346903
78,1000,25,5,62.244827
78,1000,25,6,7.027759
34,5000,20,2,1.063702
34,5000,20,3,4.957034
34,5000,20,4,0.001625
34,5000,20,5,0.911358
34,5000,20,6,0.14408
65,5000,21,2,1.799772
65,5000,21,3,11.268121
65,5000,21,4,0.003187
65,5000,21,5,2.179617
65,5000,21,6,0.31673
89,5000,22,2,4.68527
89,5000,22,3,25.351258
89,5000,22,4,0.010261
89,5000,22,5,4.745129
89,5000,22,6,0.686849
66,5000,23,2,24.834141
66,5000,23,3,
66,5000,23,4,0.307965
66,5000,23,5,11.141384
66,5000,23,6,1.501358
60,5000,24,2,1.663021
60,5000,24,3,
60,5000,24,4,0.13898
60,5000,24,5,26.025573
60,5000,24,6,3.242624
52,5000,25,2,6.980716
52,5000,25,3,
52,5000,25,4,0.289169
52,5000,25,5,62.447461
52,5000,25,6,6.988573
67,100,20,2,0.150675
67,100,20,3,5.011128
67,100,20,4,0.001603
67,100,20,5,0.943973
67,100,20,6,0.14454
11,100,21,2,1.225119
11,100,21,3,11.3347
11,100,21,4,0.002712
11,100,21,5,2.12284
11,100,21,6,0.314941
20,100,22,2,0.671877
20,100,22,3,26.386227
20,100,22,4,0.289787
20,100,22,5,4.917979
20,100,22,6,0.70317
97,100,23,2,0.018312
97,100,23,3,97.414817
97,100,23,4,0.001498
97,100,23,5,11.625909
97,100,23,6,1.49752
33,100,24,2,0.220363
33,100,24,3,
33,100,24,4,0.192466
33,100,24,5,27.171683
33,100,24,6,3.291712
44,100,25,2,2.286967
44,100,25,3,
44,100,25,4,0.147457
44,100,25,5,57.863953
44,100,25,6,7.009926
45,1000,20,2,40.840533
45,1000,20,3,26.521587
45,1000,20,4,0.002901
45,1000,20,5,0.934214
45,1000,20,6,0.144873
3,1000,21,2,18.67746
3,1000,21,3,11.35719
3,1000,21,4,0.003098
3,1000,21,5,2.105954
3,1000,21,6,0.315484
22,1000,22,2,10.434738
22,1000,22,3,69.236557
22,1000,22,4,0.00216
22,1000,22,5,5.036862
22,1000,22,6,0.687189
52,1000,23,2,6.030583
52,1000,23,3,157.822874
52,1000,23,4,0.002127
52,1000,23,5,11.060553
52,1000,23,6,1.509605
67,1000,24,2,6.78774
67,1000,24,3,
67,1000,24,4,0.204826
67,1000,24,5,27.347359
67,1000,24,6,3.245407
44,1000,25,2,0.407931
44,1000,25,3,
44,1000,25,4,1.063019
44,1000,25,5,56.717275
44,1000,25,6,10.48319
92,5000,20,2,0.036481
92,5000,20,3,24.078894
92,5000,20,4,1.166948
92,5000,20,5,0.931569
92,5000,20,6,0.144281
31,5000,21,2,1.556012
31,5000,21,3,11.423292
31,5000,21,4,0.002226
31,5000,21,5,2.179005
31,5000,21,6,0.315958
61,5000,22,2,81.463397
61,5000,22,3,59.680916
61,5000,22,4,0.785271
61,5000,22,5,4.797329
61,5000,22,6,0.685306
100,5000,23,2,579.402647
100,5000,23,3,57.642727
100,5000,23,4,0.003576
100,5000,23,5,11.306135
100,5000,23,6,1.494929
29,5000,24,2,70.415402
29,5000,24,3,
29,5000,24,4,0.754841
29,5000,24,5,24.941688
29,5000,24,6,3.222141
30,5000,25,2,3.779566
30,5000,25,3,
30,5000,25,4,0.21311
30,5000,25,5,212.676076
30,5000,25,6,7.022308
63,100,20,2,2.641034
63,100,20,3,5.106359
63,100,20,4,0.002107
63,100,20,5,1.024413
63,100,20,6,0.145288
43,100,21,2,24.465524
43,100,21,3,11.304557
43,100,21,4,0.007657
43,100,21,5,2.075906
43,100,21,6,0.314821
37,100,22,2,3.588736
37,100,22,3,25.599714
37,100,22,4,0.003868
37,100,22,5,4.824673
37,100,22,6,0.688989
94,100,23,2,0.842164
94,100,23,3,125.595725
94,100,23,4,0.003722
94,100,23,5,11.495331
94,100,23,6,1.496631
72,100,24,2,0.092195
72,100,24,3,
72,100,24,4,0.212269
72,100,24,5,26.386031
72,100,24,6,3.239711
30,100,25,2,27.683469
30,100,25,3,
30,100,25,4,0.390829
30,100,25,5,62.175985
30,100,25,6,7.136909
100,1000,20,2,0.057247
100,1000,20,3,4.945959
100,1000,20,4,0.214399
100,1000,20,5,0.913051
100,1000,20,6,0.143616
5,1000,21,2,1.667753
5,1000,21,3,51.010186
5,1000,21,4,0.002566
5,1000,21,5,2.141778
5,1000,21,6,0.31624
34,1000,22,2,0.34511
34,1000,22,3,25.496136
34,1000,22,4,0.002306
34,1000,22,5,5.04146
34,1000,22,6,0.689154
41,1000,23,2,0.459226
41,1000,23,3,91.666169
41,1000,23,4,0.002354
41,1000,23,5,11.786646
41,1000,23,6,1.495297
69,1000,24,2,12.222936
69,1000,24,3,
69,1000,24,4,0.907174
69,1000,24,5,26.442119
69,1000,24,6,3.235286
58,1000,25,2,3.602226
58,1000,25,3,
58,1000,25,4,0.992206
58,1000,25,5,56.993619
58,1000,25,6,6.970286
27,5000,20,2,16.102727
27,5000,20,3,4.907464
27,5000,20,4,0.00329
27,5000,20,5,0.894408
27,5000,20,6,0.143273
67,5000,21,2,0.302026
67,5000,21,3,11.097767
67,5000,21,4,0.00214
67,5000,21,5,2.11893
67,5000,21,6,0.313439
89,5000,22,2,4.682098
89,5000,22,3,25.374763
89,5000,22,4,0.010276
89,5000,22,5,4.748643
89,5000,22,6,0.686034
33,5000,23,2,1.733586
33,5000,23,3,57.162538
33,5000,23,4,0.002107
33,5000,23,5,11.185681
33,5000,23,6,1.489363
42,5000,24,2,88.157479
42,5000,24,3,
42,5000,24,4,0.459573
42,5000,24,5,25.160411
42,5000,24,6,3.223074
79,5000,25,2,4.903546
79,5000,25,3,
79,5000,25,4,1.56057
79,5000,25,5,58.511713
79,5000,25,6,6.982392
48,100,20,2,0.053152
48,100,20,3,4.870727
48,100,20,4,0.001684
48,100,20,5,0.994575
48,100,20,6,0.142853
30,100,21,2,2.720373
30,100,21,3,11.016229
30,100,21,4,0.002218
30,100,21,5,2.417416
30,100,21,6,0.314057
33,100,22,2,0.076914
33,100,22,3,24.97737
33,100,22,4,0.001975
33,100,22,5,6.858608
33,100,22,6,0.682865
5,100,23,2,2.150404
5,100,23,3,56.523592
5,100,23,4,0.003068
5,100,23,5,11.081748
5,100,23,6,1.488721
76,100,24,2,0.250907
76,100,24,3,
76,100,24,4,0.119747
76,100,24,5,25.219409
76,100,24,6,3.232893
63,100,25,2,3.450185
63,100,25,3,
63,100,25,4,0.134246
63,100,25,5,59.974328
63,100,25,6,6.991305
15,1000,20,2,0.042417
15,1000,20,3,4.991129
15,1000,20,4,0.001522
15,1000,20,5,0.90084
15,1000,20,6,0.144074
15,1000,21,2,0.041295
15,1000,21,3,11.795371
15,1000,21,4,0.105207
15,1000,21,5,2.095479
15,1000,21,6,0.314416
6,1000,22,2,0.70485
6,1000,22,3,84.233152
6,1000,22,4,0.003004
6,1000,22,5,4.996077
6,1000,22,6,0.692465
48,1000,23,2,86.138327
48,1000,23,3,
48,1000,23,4,0.457528
48,1000,23,5,11.413431
48,1000,23,6,1.505445
12,1000,24,2,4.478874
12,1000,24,3,
12,1000,24,4,0.390036
12,1000,24,5,25.877829
12,1000,24,6,3.24177
94,1000,25,2,3.388402
94,1000,25,3,
94,1000,25,4,0.208778
94,1000,25,5,62.053946
94,1000,25,6,7.023485
67,5000,20,2,0.387735
67,5000,20,3,5.033284
67,5000,20,4,0.293991
67,5000,20,5,0.932852
67,5000,20,6,0.144385
80,5000,21,2,2.163968
80,5000,21,3,21.134738
80,5000,21,4,0.474861
80,5000,21,5,2.096359
80,5000,21,6,0.314393
30,5000,22,2,0.592611
30,5000,22,3,25.504802
30,5000,22,4,0.003214
30,5000,22,5,4.843669
30,5000,22,6,0.688112
63,5000,23,2,0.474726
63,5000,23,3,
63,5000,23,4,0.274548
63,5000,23,5,11.360493
63,5000,23,6,1.494035
78,5000,24,2,27.442974
78,5000,24,3,
78,5000,24,4,0.129809
78,5000,24,5,26.501536
78,5000,24,6,4.32141
51,5000,25,2,0.368024
51,5000,25,3,
51,5000,25,4,0.275719
51,5000,25,5,58.056518
51,5000,25,6,7.113655
72,100,20,2,0.104948
72,100,20,3,4.917783
72,100,20,4,0.006933
72,100,20,5,0.902072
72,100,20,6,0.143562
78,100,21,2,0.026854
78,100,21,3,11.175077
78,100,21,4,0.001529
78,100,21,5,2.056663
78,100,21,6,0.320045
12,100,22,2,0.707685
12,100,22,3,25.351579
12,100,22,4,0.006811
12,100,22,5,4.727089
12,100,22,6,0.684309
4,100,23,2,3.053515
4,100,23,3,56.605579
4,100,23,4,0.004199
4,100,23,5,10.959566
4,100,23,6,1.489045
72,100,24,2,0.091484
72,100,24,3,
72,100,24,4,0.124187
72,100,24,5,25.207269
72,100,24,6,3.232346
10,100,25,2,0.816672
10,100,25,3,
10,100,25,4,0.337795
10,100,25,5,62.036623
10,100,25,6,6.979323
52,1000,20,2,0.462442
52,1000,20,3,4.936463
52,1000,20,4,0.001644
52,1000,20,5,0.906854
52,1000,20,6,0.143764
44,1000,21,2,0.285826
44,1000,21,3,11.271284
44,1000,21,4,0.002014
44,1000,21,5,2.095781
44,1000,21,6,0.315197
23,1000,22,2,0.058126
23,1000,22,3,25.527407
23,1000,22,4,0.00163
23,1000,22,5,4.880418
23,1000,22,6,0.688024
26,1000,23,2,2.772591
26,1000,23,3,110.036997
26,1000,23,4,0.004312
26,1000,23,5,11.413721
26,1000,23,6,1.503364
90,1000,24,2,1.309565
90,1000,24,3,
90,1000,24,4,0.284642
