seed,gridsize,ncount,method,besttour,runtime
64,1000,27,6,,
96,1000,28,2,4302,263.481721
96,1000,28,4,4037,0.016455
96,1000,28,6,,
7,1000,29,2,3843,0.397
7,1000,29,4,3806,0.003462
7,1000,29,6,,
66,1000,30,2,4587,29.092598
66,1000,30,4,4407,0.004039
66,1000,30,6,,
5,1000,31,2,4860,4.584044
5,1000,31,4,4636,0.003838
5,1000,31,6,,
42,1000,32,2,4338,0.181712
42,1000,32,4,4044,0.003416
42,1000,32,6,,
66,5000,26,2,24628,14.423628
66,5000,26,4,21763,0.003435
66,5000,26,6,21763,15.12755
70,5000,27,2,23145,52.307092
70,5000,27,4,22616,0.00889
70,5000,27,6,22616,32.35368
43,5000,28,2,24833,1.064215
43,5000,28,4,20549,0.006619
43,5000,28,6,20549,70.731604
41,5000,29,2,23741,157.849085
41,5000,29,4,22466,0.20859
41,5000,29,6,,
58,5000,30,2,23773,0.887489
58,5000,30,4,23281,0.00431
58,5000,30,6,,
66,5000,31,2,25913,46.871229
66,5000,31,4,22919,0.005858
66,5000,31,6,,
97,5000,32,2,22675,77.011552
97,5000,32,4,22260,0.018073
97,5000,32,6,,
51,100,26,2,392,4.022697
51,100,26,4,375,0.003927
51,100,26,6,375,15.040349
98,100,27,2,411,14.399521
98,100,27,4,387,0.006807
98,100,27,6,387,32.38207
25,100,28,2,417,49.860974
25,100,28,4,401,0.008882
25,100,28,6,401,75.707722
80,100,29,2,445,3.185138
80,100,29,4,409,0.004807
80,100,29,6,,
38,100,30,2,439,21.141942
38,100,30,4,428,0.003774
38,100,30,6,,
94,100,31,2,528,2.739184
94,100,31,4,480,0.02413
94,100,31,6,,
93,100,32,2,499,0.44328
93,100,32,4,463,0.003226
93,100,32,6,,
79,1000,26,2,4298,0.152529
79,1000,26,4,3991,0.002159
79,1000,26,6,3991,15.018415
37,1000,27,2,5225,1.219327
37,1000,27,4,4217,0.00568
37,1000,27,6,4217,32.275028
18,1000,28,2,5091,16.999579
18,1000,28,4,4751,0.01805
18,1000,28,6,4751,76.634207
73,1000,29,2,,
73,1000,29,4,4564,0.010378
73,1000,29,6,,
48,1000,30,2,5307,161.863443
48,1000,30,4,4932,0.074703
48,1000,30,6,,
1,1000,31,2,4390,14.600509
1,1000,31,4,4390,0.004526
1,1000,31,6,,
86,1000,32,2,5420,6.39669
86,1000,32,4,4899,0.00593
86,1000,32,6,,
29,5000,26,2,22211,148.656215
29,5000,26,4,21578,0.004182
29,5000,26,6,21578,15.018351
38,5000,27,2,21747,0.804128
38,5000,27,4,21111,0.002251
38,5000,27,6,21111,32.303871
7,5000,28,2,,
7,5000,28,4,21898,0.01378
7,5000,28,6,21898,69.442321
16,5000,29,2,27095,23.76999
16,5000,29,4,23762,0.00401
16,5000,29,6,,
47,5000,30,2,23839,9.393586
47,5000,30,4,21600,0.039372
47,5000,30,6,,
32,5000,31,2,24621,53.86865
32,5000,31,4,23244,0.007853
32,5000,31,6,,
46,5000,32,2,,
46,5000,32,4,24975,0.019139
46,5000,32,6,,
95,100,26,2,496,2.187151
95,100,26,4,464,0.464468
95,100,26,6,,
1,100,27,2,386,64.769932
1,100,27,4,367,0.018255
1,100,27,6,,
15,100,28,2,437,0.673645
15,100,28,4,416,0.002885
15,100,28,6,,
90,100,29,2,490,89.246245
90,100,29,4,435,0.013429
90,100,29,6,,
96,100,30,2,,
96,100,30,4,438,0.495859
96,100,30,6,,
41,100,31,2,445,0.503374
41,100,31,4,435,0.505138
41,100,31,6,,
23,100,32,2,,
23,100,32,4,442,0.011975
23,100,32,6,,
12,1000,26,2,4394,5.055902
