seed,gridsize,ncount,method,runtime
61,5000,13,6,0.000496
27,5000,14,1,0.641057
27,5000,14,2,6.18909
27,5000,14,3,0.030832
27,5000,14,4,0.001544
27,5000,14,5,0.003399
27,5000,14,6,0.001158
19,5000,15,1,27.621443
19,5000,15,2,0.01774
19,5000,15,3,0.071917
19,5000,15,4,0.000937
19,5000,15,5,0.00776
19,5000,15,6,0.002622
90,5000,16,1,19.301196
90,5000,16,2,0.863332
90,5000,16,3,0.169875
90,5000,16,4,0.00143
90,5000,16,5,0.017508
90,5000,16,6,0.005936
87,5000,17,1,
87,5000,17,2,0.135077
87,5000,17,3,0.407221
87,5000,17,4,0.00132
87,5000,17,5,0.042057
87,5000,17,6,0.013222
48,5000,18,1,273.982862
48,5000,18,2,3.075106
48,5000,18,3,0.94733
48,5000,18,4,0.002089
48,5000,18,5,0.130421
48,5000,18,6,0.029596
90,5000,19,1,
90,5000,19,2,0.472545
90,5000,19,3,2.136192
90,5000,19,4,0.192294
90,5000,19,5,0.382401
90,5000,19,6,0.065068
5,100,20,2,0.420055
5,100,20,3,4.904769
5,100,20,4,0.001509
5,100,20,5,0.900586
5,100,20,6,0.143602
62,100,21,2,1.80604
62,100,21,3,20.400924
62,100,21,4,0.002019
62,100,21,5,2.047595
62,100,21,6,0.319306
58,100,22,2,1.470609
58,100,22,3,96.266237
58,100,22,4,0.001915
58,100,22,5,5.195325
58,100,22,6,0.700756
14,100,23,2,0.011698
14,100,23,3,
14,100,23,4,0.002216
14,100,23,5,11.866617
14,100,23,6,1.502549
8,100,24,2,108.200178
8,100,24,3,
8,100,24,4,0.40184
8,100,24,5,27.043109
8,100,24,6,3.248314
43,100,25,2,140.404969
43,100,25,3,
43,100,25,4,2.100261
43,100,25,5,61.573633
43,100,25,6,6.993344
5,1000,20,2,0.235953
5,1000,20,3,4.97897
5,1000,20,4,0.001592
5,1000,20,5,0.900033
5,1000,20,6,0.144081
3,1000,21,2,18.446354
3,1000,21,3,14.544258
3,1000,21,4,0.136924
3,1000,21,5,2.06676
3,1000,21,6,0.315011
67,1000,22,2,2.298524
67,1000,22,3,49.071047
67,1000,22,4,0.002111
67,1000,22,5,5.048906
67,1000,22,6,0.695914
38,1000,23,2,0.397218
38,1000,23,3,77.321666
38,1000,23,4,0.003619
38,1000,23,5,10.969255
38,1000,23,6,1.490292
51,1000,24,2,13.112093
51,1000,24,3,
51,1000,24,4,0.349238
51,1000,24,5,26.060265
51,1000,24,6,3.23193
81,1000,25,2,0.025862
81,1000,25,3,
81,1000,25,4,1.857631
81,1000,25,5,58.003149
81,1000,25,6,6.971822
71,5000,20,2,0.228718
71,5000,20,3,4.874757
71,5000,20,4,0.001468
71,5000,20,5,0.896751
71,5000,20,6,0.143477
24,5000,21,2,15.317372
24,5000,21,3,11.21643
24,5000,21,4,0.004269
24,5000,21,5,2.083472
24,5000,21,6,0.312983
1,5000,22,2,10.464402
1,5000,22,3,25.142959
1,5000,22,4,0.005268
1,5000,22,5,4.89879
1,5000,22,6,0.683333
66,5000,23,2,24.846428
66,5000,23,3,57.603835
66,5000,23,4,0.002289
66,5000,23,5,11.145965
66,5000,23,6,1.491302
18,5000,24,2,70.948699
18,5000,24,3,125.476302
18,5000,24,4,0.004829
18,5000,24,5,26.378549
18,5000,24,6,3.22145
73,5000,25,2,0.478061
73,5000,25,3,
73,5000,25,4,2.280147
73,5000,25,5,58.699504
73,5000,25,6,6.987512
58,100,26,2,0.471505
58,100,26,4,0.002038
58,100,26,6,15.057873
81,100,27,2,67.064901
81,100,27,4,0.005066
81,100,27,6,34.40364
23,100,28,2,
23,100,28,4,0.011052
23,100,28,6,
84,100,29,2,15.009989
84,100,29,4,0.163461
84,100,29,6,
19,100,30,2,34.764992
19,100,30,4,0.011719
19,100,30,6,
95,100,31,2,9.630574
95,100,31,4,0.009254
95,100,31,6,
1,100,32,2,12.125013
1,100,32,4,0.00979
1,100,32,6,
96,1000,26,2,19.750044
96,1000,26,4,0.00454
96,1000,26,6,16.796684
76,1000,27,2,16.618541
76,1000,27,4,0.249881
76,1000,27,6,32.299568
44,1000,28,2,1.461343
44,1000,28,4,0.003478
44,1000,28,6,69.446994
43,1000,29,2,2.426636
43,1000,29,4,0.006606
43,1000,29,6,
41,1000,30,2,4.637648
41,1000,30,4,0.003365
41,1000,30,6,
38,1000,31,2,114.58147
38,1000,31,4,0.01161
38,1000,31,6,
25,1000,32,2,
25,1000,32,4,0.01065
25,1000,32,6,
31,5000,26,2,8.612175
31,5000,26,4,0.003409
31,5000,26,6,15.008884
64,5000,27,2,10.482926
64,5000,27,4,0.004332
64,5000,27,6,32.292698
17,5000,28,2,1.064944
17,5000,28,4,0.003039
17,5000,28,6,69.453243
59,5000,29,2,421.481387
59,5000,29,4,0.003684
59,5000,29,6,
31,5000,30,2,278.227151
31,5000,30,4,0.015404
31,5000,30,6,
18,5000,31,2,
18,5000,31,4,0.009212
18,5000,31,6,
62,5000,32,2,155.112897
62,5000,32,4,0.009792
62,5000,32,6,
42,100,5,1,0.000001
42,100,5,2,0.00013
42,100,5,3,0.000017
42,100,5,4,0.000778
42,100,5,5,0.000003
42,100,5,6,0.000003
91,100,6,1,0.000003
91,100,6,2,0.001598
91,100,6,3,0.000031
91,100,6,4,0.000607
91,100,6,5,0.000005
91,100,6,6,0.000004
81,100,7,1,0.000013
81,100,7,2,0.000185
81,100,7,3,0.000069
81,100,7,4,0.000547
81,100,7,5,0.000009
81,100,7,6,0.000007
65,100,8,1,0.000048
65,100,8,2,0.002031
65,100,8,3,0.000168
65,100,8,4,0.000706
65,100,8,5,0.000021
65,100,8,6,0.000012
77,100,9,1,0.000246
77,100,9,2,0.001649
77,100,9,3,0.000423
77,100,9,4,0.000824
77,100,9,5,0.000048
77,100,9,6,0.000022
80,100,10,1,0.001505
80,100,10,2,0.001959
80,100,10,3,0.00099
80,100,10,4,0.000795
80,100,10,5,0.000119
80,100,10,6,0.000045
85,100,11,1,0.007517
85,100,11,2,0.003709
85,100,11,3,0.002386
85,100,11,4,0.000843
85,100,11,5,0.000286
85,100,11,6,0.000099
70,100,12,1,0.023165
70,100,12,2,0.005355
70,100,12,3,0.00564
70,100,12,4,0.000854
70,100,12,5,0.000654
70,100,12,6,0.000222
34,100,13,1,0.200546
34,100,13,2,0.002127
34,100,13,3,0.013128
34,100,13,4,0.001099
34,100,13,5,0.001501
34,100,13,6,0.000511
44,100,14,1,0.706532
44,100,14,2,0.00448
44,100,14,3,0.031072
44,100,14,4,0.00157
44,100,14,5,0.003402
44,100,14,6,0.00116
82,100,15,1,7.036136
82,100,15,2,0.001948
82,100,15,3,0.071844
82,100,15,4,0.001047
82,100,15,5,0.007891
82,100,15,6,0.002614
74,100,16,1,7.246763
74,100,16,2,0.004954
74,100,16,3,0.17052
74,100,16,4,0.001166
74,100,16,5,0.01745
74,100,16,6,0.005898
84,100,17,1,24.129309
84,100,17,2,0.001012
84,100,17,3,0.40042
84,100,17,4,0.001046
84,100,17,5,0.0392
84,100,17,6,0.013174
40,100,18,1,158.492343
40,100,18,2,0.177611
40,100,18,3,0.917924
40,100,18,4,0.001829
40,100,18,5,0.113539
40,100,18,6,0.029308
61,100,19,1,
61,100,19,2,0.13836
61,100,19,3,2.123127
61,100,19,4,0.002568
61,100,19,5,0.39979
61,100,19,6,0.064899
82,1000,5,1,0.000001
82,1000,5,2,0.000175
82,1000,5,3,0.000017
82,1000,5,4,0.000632
82,1000,5,5,0.000003
82,1000,5,6,0.000007
21,1000,6,1,0.000002
21,1000,6,2,0.002351
21,1000,6,3,0.00003
21,1000,6,4,0.000594
21,1000,6,5,0.000005
21,1000,6,6,0.000004
55,1000,7,1,0.000011
55,1000,7,2,0.004849
55,1000,7,3,0.000071
55,1000,7,4,0.000611
55,1000,7,5,0.000009
55,1000,7,6,0.000006
47,1000,8,1,0.000064
47,1000,8,2,0.00669
47,1000,8,3,0.000165
47,1000,8,4,0.000639
47,1000,8,5,0.00002
47,1000,8,6,0.000011
43,1000,9,1,0.000318
43,1000,9,2,0.020794
43,1000,9,3,0.000419
43,1000,9,4,0.000785
43,1000,9,5,0.000048
43,1000,9,6,0.000021
54,1000,10,1,0.002354
54,1000,10,2,0.003097
54,1000,10,3,0.00099
54,1000,10,4,0.00071
54,1000,10,5,0.000118
54,1000,10,6,0.000042
98,1000,11,1,0.005109
98,1000,11,2,0.042038
98,1000,11,3,0.002381
98,1000,11,4,0.000932
98,1000,11,5,0.000275
98,1000,11,6,0.000097
58,1000,12,1,0.040673
58,1000,12,2,0.14357
58,1000,12,3,0.005603
58,1000,12,4,0.000997
58,1000,12,5,0.000649
58,1000,12,6,0.00022
70,1000,13,1,0.134015
70,1000,13,2,0.022245
70,1000,13,3,0.013124
70,1000,13,4,0.000961
70,1000,13,5,0.001492
70,1000,13,6,0.000506
97,1000,14,1,1.184439
97,1000,14,2,0.003934
97,1000,14,3,0.030835
97,1000,14,4,0.000873
97,1000,14,5,0.003434
97,1000,14,6,0.001163
83,1000,15,1,2.575134
83,1000,15,2,0.01418
83,1000,15,3,0.071837
83,1000,15,4,0.001157
